Name,Index,KEGGID,FullName,Other,Lipid,Cofactor,Nucleotide,AminoAcid,CentralCarbon
btcoa[c],126,C00136,Butanoyl_CoA,1,0,0,0,0,0
btn[c],127,C00120,Biotin,0,0,1,0,0,0
cbasp[c],128,C00438,N_Carbamoyl_L_aspartate,0,0,0,1,0,0
cbi[c],129,C05774,Cobinamide,0,0,1,0,0,0
cbl1[c],130,C00853,Cob_I_alamin,0,0,1,0,0,0
cbp[c],131,C00169,Carbamoyl_phosphate,0,0,0,1,1,0
cdp[c],132,C00112,CDP,0,0,0,1,0,0
chol[c],133,C00114,Choline,0,1,0,0,0,0
chor[c],134,C00251,chorismate,0,0,1,0,1,0
cit[c],135,C00158,Citrate,0,0,0,0,0,1
citr_L[c],136,C00327,L_Citrulline,0,0,0,0,1,0
cmp[c],137,C00055,CMP,0,1,1,1,0,0
cpppg3[c],138,C03263,Coproporphyrinogen_III,0,0,1,0,0,0
csn[c],139,C00380,Cytosine,0,0,0,1,0,0
ctp[c],140,C00063,CTP,0,1,1,1,0,0
cys_L[c],141,C00097,L_Cysteine,0,0,1,0,1,0
cyst_L[c],142,C02291,L_Cystathionine,0,0,0,0,1,0
cytd[c],143,C00475,Cytidine,0,0,0,1,0,0
dad_2[c],144,C00559,Deoxyadenosine,0,0,0,1,0,0
dadp[c],145,C00206,dADP,0,0,0,1,0,0
damp[c],146,C00360,dAMP,0,0,0,1,0,0
dann[c],147,C01037,7_8_Diaminononanoate,0,0,1,0,0,0
datp[c],148,C00131,dATP,0,0,0,1,0,0
db4p[c],149,C15556,3_4_dihydroxy_2_butanone_4_phosphate,0,0,1,0,0,0
dcamp[c],150,C03794,N6__1_2_Dicarboxyethyl__AMP,0,0,0,1,0,0
dcdp[c],151,C00705,dCDP,0,0,0,1,0,0
dcmp[c],152,C00239,dCMP,0,0,0,1,0,0
dctp[c],153,C00458,dCTP,0,0,0,1,0,0
dcyt[c],154,C00881,Deoxycytidine,0,0,0,1,0,0
ddcaACP[c],155,C05223,Dodecanoyl_ACP__n_C120ACP_,1,1,0,0,0,0
dgdp[c],156,C00361,dGDP,0,0,0,1,0,0
dgmp[c],157,C00362,dGMP,0,0,0,1,0,0
dgsn[c],158,C00330,Deoxyguanosine,0,0,0,1,0,0
dgtp[c],159,C00286,dGTP,0,0,0,1,0,0
dha[c],160,C00184,Dihydroxyacetone,0,0,0,0,0,1
dhap[c],161,C00111,Dihydroxyacetone_phosphate,0,0,1,0,0,1
dhf[c],162,C00415,7_8_Dihydrofolate,0,0,1,1,0,0
dhna[c],163,C03657,1_4_Dihydroxy_2_naphthoate,0,0,1,0,0,0
dhnpt[c],164,C04874,Dihydroneopterin,0,0,1,0,0,0
dhor_S[c],165,C00337,S__Dihydroorotate,0,0,0,1,0,0
dhpmp[c],166,C05925,Dihydroneopterin_monophosphate,0,0,1,0,0,0
dhpt[c],167,C00921,Dihydropteroate,0,0,1,0,0,0
dhptd[c],168,C11838,4_5_dihydroxy_2_3_pentanedione,0,0,0,0,1,0
din[c],169,C05512,Deoxyinosine,0,0,0,1,0,0
dmbzid[c],170,C03114,5_6_Dimethylbenzimidazole,0,0,1,0,0,0
dmlz[c],171,C04332,6_7_Dimethyl_8__1_D_ribityl_lumazine,0,0,1,0,0,0
dmpp[c],172,C00235,Dimethylallyl_diphosphate,0,0,1,0,0,0
dnad[c],173,C00857,Deamino_NAD,0,0,1,1,0,0
dpcoa[c],174,C00882,Dephospho_CoA,0,0,1,0,0,0
dscl[c],175,C02463,dihydrosirohydrochlorin,0,0,1,0,0,0
dtbt[c],176,C01909,Dethiobiotin,0,0,1,0,0,0
dtdp4addg[c],177,C04268,dTDP_4_amino_4_6_dideoxy_D_glucose,1,0,0,0,0,0
dtdp4d6dg[c],178,C00687,dTDP_4_dehydro_6_deoxy_D_glucose,1,0,0,0,0,0
dtdp4d6dm[c],179,C00688,dTDP_4_dehydro_6_deoxy_L_mannose,1,0,0,0,0,0
dtdp[c],180,C00363,dTDP,1,1,0,1,0,0
dtdpglu[c],181,C00842,dTDPglucose,1,0,0,0,0,0
dtdprmn[c],182,C03319,dTDP_L_rhamnose,1,1,0,0,0,0
dtmp[c],183,C00364,dTMP,0,0,0,1,0,0
dttp[c],184,C00459,dTTP,1,0,0,1,0,0
dudp[c],185,C01346,dUDP,0,0,0,1,0,0
dump[c],186,C00365,dUMP,0,0,0,1,0,0
duri[c],187,C00526,Deoxyuridine,0,0,0,1,0,0
dutp[c],188,C00460,dUTP,0,0,0,1,0,0
dxyl5p[c],189,C11437,1_deoxy_D_xylulose_5_phosphate,0,0,1,0,0,0
dxyl[c],190,C06257,1_deoxy_D_xylulose,0,0,1,0,0,0
e4p[c],191,C00279,D_Erythrose_4_phosphate,0,0,1,0,1,1
eig3p[c],192,C04666,D_erythro_1__Imidazol_4_yl_glycerol_3_phosphate,0,0,0,0,1,0
enter[c],193,C05821,Enterochelin,0,0,1,0,0,0
etha[c],194,C00189,Ethanolamine,1,1,0,0,0,0
etoh[c],195,C00469,Ethanol,0,0,0,0,0,1
f6p[c],196,C00085,D_Fructose_6_phosphate,1,0,0,0,0,1
fdp[c],197,C00354,D_Fructose_1_6_bisphosphate,0,0,0,0,0,1
fgam[c],198,C04376,N2_Formyl_N1__5_phospho_D_ribosyl_glycinamide,0,0,0,1,0,0
fmn[c],199,C00061,FMN,0,0,1,0,0,0
for[c],200,C00058,Formate,0,0,0,0,0,1
fpram[c],201,C04640,2__Formamido__N1__5_phospho_D_ribosyl_acetamidine,0,0,0,1,0,0
fprica[c],202,C04734,5_Formamido_1__5_phospho_D_ribosyl_imidazole_4_carboxamide,0,0,0,1,0,0
frdp[c],203,C00448,Farnesyl_diphosphate,0,0,1,0,0,0
fum[c],204,C00122,Fumarate,0,0,1,1,1,1
g1p[c],205,C00103,D_Glucose_1_phosphate,1,0,0,0,0,1
g3p[c],206,C00661,Glyceraldehyde_3_phosphate,0,0,1,0,1,1
g3pc[c],207,C00670,sn_Glycero_3_phosphocholine,0,1,0,0,0,0
g3pe[c],208,C01233,sn_Glycero_3_phosphoethanolamine,0,1,0,0,0,0
g3pg[c],209,C03274,Glycerophosphoglycerol,0,1,0,0,0,0
g3pi[c],210,C01225,sn_Glycero_3_phospho_1_inositol,0,1,0,0,0,0
g6p[c],211,C00092,D_Glucose_6_phosphate,0,0,0,0,0,1
gam1p[c],212,C06156,D_Glucosamine_1_phosphate,1,0,0,0,0,0
gam6p[c],213,C00352,D_Glucosamine_6_phosphate,1,0,0,0,0,0
